,0
1060,240
1061,120
1062,60
1063,60
1064,120
1065,60
1066,60
1067,60
1068,120
1069,240
1070,120
1071,120
1072,120
1073,120
1074,120
1075,240
1076,120
1077,60
1078,120
1079,120
1080,60
1081,120
1082,120
1083,120
1084,120
1085,120
1086,120
1087,120
1088,120
1089,120
1090,120
1091,120
1092,120
1093,120
1094,120
1095,120
1096,120
1097,60
1098,120
1099,60
1100,120
1101,120
1102,120
1103,120
1104,60
1105,120
1106,60
1107,120
1108,120
1109,120
1110,60
1111,60
1112,120
1113,120
1114,120
1115,120
1116,120
1117,120
1118,120
1119,120
1120,120
1121,120
1122,120
1123,120
1124,120
1125,120
1126,60
1127,120
1128,60
1129,120
1130,120
1131,120
1132,120
1133,240
1134,60
1135,60
1136,120
1137,120
1138,60
1139,120
1140,120
1141,120
1142,30
1143,30
1144,120
1145,120
1146,120
1147,120
1148,120
1149,120
1150,60
1151,120
1152,60
1153,120
1154,120
1155,120
1156,120
1157,60
1158,60
1159,120
1160,120
1161,60
1162,60
1163,240
1164,120
1165,0
1166,60
1167,60
1168,0
1169,120
1170,60
1171,30
1172,30
1173,240
1174,60
1175,60
1176,60
1177,480
1178,420
1179,360
1180,60
1181,240
1182,60
1183,60
1184,60
1185,120
1186,126
1187,126
1188,126
1189,126
1190,126
1191,995
1192,982
1193,969
1194,956
1195,943
1196,930
1197,120
1198,120
1199,120
1200,180
1201,30
1202,30
1203,120
1204,120
1205,120
1206,170
1207,60
1208,60
1209,60
1210,60
1211,60
1212,60
1213,60
1214,60
1215,60
1216,60
1217,60
1218,60
1219,60
1220,60
1221,60
1222,120
1223,120
1224,120
1225,120
1226,60
1227,60
1228,60
1229,60
1230,170
1231,60
1232,60
1233,60
1234,60
1235,60
1236,60
1237,60
1238,60
1239,60
1240,480
1241,240
1242,120
1243,120
1244,120
1245,180
1246,30
1247,30
1248,120
1249,120
1250,120
1251,180
1252,60
1253,60
1254,60
1255,120
1256,180
1257,60
1258,60
1259,60
1260,480
1261,180
1262,60
1263,480
1264,240
1265,60
1266,60
1267,60
1268,60
1269,60
1270,60
1271,60
1272,60
1273,60
1274,60
1275,60
1276,60
1277,60
1278,60
1279,120
1280,120
1281,120
1282,60
1283,60
1284,60
1285,60
1286,60
1287,60
1288,60
1289,60
1290,60
1291,60
1292,120
1293,60
1294,60
1295,120
1296,120
1297,120
1298,240
1299,60
1300,60
1301,15
1302,15
1303,15
1304,15
1305,15
1306,15
1307,15
1308,15
1309,15
1310,45
1311,50
1312,240
1313,120
1314,120
1315,120
1316,180
1317,30
1318,30
1319,120
1320,120
1321,120
1322,120
1323,180
1324,30
1325,30
1326,120
1327,120
1328,120
1329,180
1330,60
1331,60
1332,60
1333,120
1334,120
1335,120
1336,120
1337,120
1338,60
1339,60
1340,60
1341,60
1342,60
1343,60
1344,60
1345,55
1346,18
1347,15
1348,30
1349,30
1350,30
1351,60
1352,60
1353,60
1354,60
1355,15
1356,15
1357,15
1358,15
1359,15
1360,100
1361,50
1362,148
1363,120
1364,120
1365,120
1366,147
1367,30
1368,30
1369,120
1370,120
1371,120
1372,170
1373,60
1374,60
1375,60
1376,60
1377,60
1378,60
1379,60
1380,60
1381,60
1382,60
1383,60
1384,60
1385,60
1386,60
1387,60
1388,0
1389,15
1390,15
1391,180
1392,120
1393,120
1394,120
1395,230
1396,120
1397,240
1398,120
1399,120
1400,120
1401,230
1402,120
1403,120
1404,120
1405,268
1406,38
1407,36
1408,41
1409,44
1410,41
1411,38
1412,39
1413,480
1414,30
1415,30
1416,60
1417,60
1418,60
1419,60
1420,150
1421,30
1422,30
1423,30
1424,60
1425,60
1426,170
1427,60
1428,480
1429,120
1430,120
1431,120
1432,180
1433,30
1434,30
1435,120
1436,120
1437,120
1438,167
1439,60
1440,60
1441,60
1442,60
1443,60
1444,60
1445,60
1446,60
1447,60
1448,60
1449,60
1450,120
1451,120
1452,323
1453,60
1454,60
1455,120
1456,120
1457,120
1458,120
1459,120
1460,120
1461,240
1462,60
1463,60
1464,280
1465,60
1466,120
1467,240
1468,120
1469,120
1470,60
1471,60
1472,60
1473,120
1474,120
1475,481
1476,120
1477,120
1478,120
1479,170
1480,30
1481,30
1482,120
1483,120
1484,120
1485,164
1486,60
1487,60
1488,60
1489,121
1490,120
1491,120
1492,120
1493,170
1494,30
1495,30
1496,120
1497,120
1498,120
1499,180
1500,60
1501,60
1502,60
1503,120
1504,120
1505,120
1506,180
1507,60
1508,60
1509,60
1510,60
1511,60
1512,60
1513,60
1514,60
1515,60
1516,60
1517,60
1518,120
1519,120
1520,120
1521,120
1522,170
1523,30
1524,30
1525,120
1526,120
1527,120
1528,180
1529,60
1530,60
1531,60
1532,81
1533,88
1534,82
1535,211
1536,120
1537,120
1538,230
1539,120
1540,120
1541,120
1542,154
1543,30
1544,30
1545,91
1546,120
1547,120
1548,180
1549,60
1550,60
1551,60
1552,120
1553,120
1554,120
1555,120
1556,120
1557,120
1558,120
1559,120
1560,120
1561,120
1562,120
1563,120
1564,170
1565,30
1566,30
1567,120
1568,120
1569,120
1570,168
1571,60
1572,60
1573,60
1574,60
1575,60
1576,60
1577,60
1578,240
1579,290
1580,60
1581,60
1582,60
1583,60
1584,60
1585,60
1586,60
1587,290
1588,60
1589,120
1590,220
1591,120
1592,120
1593,0
1594,240
1595,120
1596,240
1597,88
1598,230
1599,230
1600,120
1601,120
1602,120
1603,153
1604,30
1605,30
1606,120
1607,120
1608,120
1609,160
1610,60
1611,60
1612,60
1613,60
1614,60
1615,60
1616,60
1617,60
1618,60
1619,60
1620,60
1621,60
1622,240
1623,60
1624,120
1625,480
1626,480
1627,120
1628,120
1629,120
1630,180
1631,30
1632,30
1633,120
1634,120
1635,120
1636,170
1637,60
1638,60
1639,60
1640,120
1641,240
1642,120
1643,120
1644,120
1645,120
1646,120
1647,60
1648,60
1649,60
1650,240
1651,240
1652,120
1653,120
1654,120
1655,180
1656,30
1657,30
1658,120
1659,120
1660,120
1661,180
1662,60
1663,60
1664,60
1665,120
1666,360
1667,240
1668,60
1669,60
1670,60
1671,60
1672,60
1673,60
1674,60
1675,60
1676,60
1677,60
1678,60
1679,60
1680,60
1681,60
1682,60
1683,240
1684,120
1685,120
1686,120
1687,180
1688,30
1689,30
1690,120
1691,120
1692,120
1693,180
1694,60
1695,60
1696,60
1697,122
1698,239
1699,120
1700,240
1701,120
1702,120
1703,120
1704,180
1705,30
1706,30
1707,120
1708,120
1709,120
1710,240
1711,120
1712,240
1713,120
1714,120
1715,240
1716,120
1717,120
1718,120
1719,120
1720,180
1721,30
1722,30
1723,116
1724,120
1725,120
1726,180
1727,60
1728,60
1729,60
1730,120
1731,120
1732,120
1733,120
1734,180
1735,30
1736,30
1737,120
1738,120
1739,120
1740,180
1741,60
1742,60
1743,60
1744,540
1745,60
1746,60
1747,60
1748,60
1749,60
1750,60
1751,60
1752,124
1753,131
1754,132
1755,120
1756,180
1757,30
1758,30
1759,120
1760,120
1761,120
1762,180
1763,60
1764,60
1765,60
1766,240
1767,120
1768,240
1769,110
1770,360
1771,120
1772,120
1773,120
1774,180
1775,30
1776,30
1777,120
1778,120
1779,120
1780,170
1781,60
1782,60
1783,60
1784,60
1785,60
1786,60
1787,60
1788,60
1789,60
1790,60
1791,60
1792,60
1793,60
1794,60
1795,60
1796,60
1797,60
1798,60
1799,60
1800,420
1801,960
1802,120
1803,120
1804,120
1805,180
1806,30
1807,30
1808,120
1809,120
1810,120
1811,170
1812,60
1813,60
1814,60
1815,60
1816,60
1817,60
1818,60
1819,60
1820,60
1821,60
1822,60
1823,120
1824,120
1825,120
1826,120
1827,60
1828,60
1829,60
1830,60
1831,120
1832,120
1833,240
1834,240
1835,60
1836,60
1837,60
1838,60
1839,60
1840,60
1841,60
1842,60
1843,120
1844,120
1845,120
1846,120
1847,180
1848,30
1849,30
1850,120
1851,120
1852,120
1853,180
1854,60
1855,60
1856,60
1857,116
1858,240
1859,120
1860,120
1861,240
1862,240
1863,240
1864,120
1865,120
1866,60
1867,60
1868,240
1869,240
1870,120
1871,120
1872,120
1873,180
1874,30
1875,30
1876,120
1877,120
1878,120
1879,180
1880,60
1881,60
1882,60
1883,120
1884,120
1885,120
1886,120
1887,120
1888,120
1889,120
1890,120
1891,240
1892,120
1893,120
1894,180
1895,30
1896,30
1897,120
1898,120
1899,120
1900,180
1901,75
1902,60
1903,60
1904,60
1905,60
1906,60
1907,60
1908,120
1909,120
1910,540
1911,60
1912,60
1913,60
1914,60
1915,60
1916,60
1917,60
1918,120
1919,120
1920,120
1921,240
1922,60
1923,60
1924,120
1925,120
1926,960
1927,240
1928,120
1929,120
1930,60
1931,60
1932,60
1933,60
1934,60
1935,60
1936,60
1937,60
1938,60
1939,60
1940,60
1941,60
1942,120
1943,120
1944,3840
1945,480
1946,60
1947,60
1948,60
1949,60
1950,60
1951,60
1952,60
1953,60
1954,60
1955,60
1956,60
1957,60
1958,60
1959,60
1960,60
1961,60
1962,60
1963,60
1964,60
1965,60
1966,60
1967,60
1968,60
1969,60
1970,60
1971,60
1972,60
1973,60
1974,60
1975,60
1976,60
1977,60
1978,60
1979,60
1980,60
1981,60
1982,60
1983,60
1984,60
1985,60
1986,60
1987,60
1988,60
1989,60
1990,60
1991,60
1992,60
1993,60
1994,60
1995,60
1996,60
1997,60
1998,60
1999,60
2000,60
2001,60
2002,60
2003,60
2004,60
2005,60
2006,60
2007,60
2008,60
2009,60
2010,60
2011,60
2012,60
2013,60
2014,60
2015,60
2016,60
2017,60
2018,60
2019,60
2020,60
2021,60
2022,60
2023,60
2024,60
2025,60
2026,60
2027,60
2028,60
2029,60
2030,60
2031,60
2032,60
2033,60
2034,60
2035,60
2036,60
2037,60
2038,60
2039,60
2040,60
2041,60
2042,60
2043,60
2044,60
2045,60
2046,60
2047,60
2048,60
2049,60
2050,60
2051,60
2052,60
2053,60
2054,60
2055,60
2056,60
2057,60
2058,60
2059,60
2060,60
2061,60
2062,60
2063,60
2064,60
2065,60
2066,60
2067,60
2068,60
2069,60
2070,60
2071,60
2072,60
2073,60
2074,60
2075,60
2076,60
2077,60
2078,60
2079,60
2080,60
2081,60
2082,60
2083,60
2084,60
2085,60
2086,60
2087,60
2088,60
2089,60
2090,60
2091,60
2092,60
2093,60
2094,60
2095,60
2096,60
2097,60
2098,60
2099,60
2100,60
2101,60
2102,60
2103,60
2104,60
2105,60
2106,60
2107,60
2108,60
2109,60
2110,60
